Aufführungen;verfügbare Plätze;ausgegebene Karten;Jahr_Nr;Kunstgattung_Nr
141;136961;119499;2019/2020;Oper
43;7336;5712;2019/2020;Ballett
319;108524;100201;2019/2020;Schauspiel
54;12400;9666;2019/2020;sonstige
78;40140;16633;2020/2021;Oper
0;0;0;2020/2021;Ballett
103;23616;8619;2020/2021;Schauspiel
11;1995;907;2020/2021;sonstige
211;143884;97237;2021/2022;Oper
30;8394;4796;2021/2022;Ballett
398;126268;85538;2021/2022;Schauspiel
58;15042;7996;2021/2022;sonstige
262;235644;181922;2022/2023;Oper
6;2100;1914;2022/2023;Ballett
408;145206;119307;2022/2023;Schauspiel
55;7720;4447;2022/2023;sonstige
